Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
Tomas Berdych,Richard Gasquet,Shanghai,6-Oct-14,Hard,Second Round,7,22,0,2,12,10,0,24,25,8,12,4,5,20,42,52,0,4,1,2,18,32,4,10,0,0,5,37,27
Gilles Simon,Stan Wawrinka,Shanghai,6-Oct-14,Hard,Second Round,29,4,0,2,18,7,1,43,63,29,53,4,11,33,95,105,1,16,12,3,46,58,16,37,3,5,44,116,106
John Isner,Steve Johnson,Shanghai,6-Oct-14,Hard,Second Round,14,42,0,2,14,24,0,51,63,9,16,0,5,28,92,88,0,12,9,1,46,63,18,29,0,0,19,79,83
Roberto Bautista Agut,Vasek Pospisil,Shanghai,6-Oct-14,Hard,Second Round,18,44,0,2,16,2,4,52,75,20,37,1,3,28,90,100,1,16,15,3,45,60,17,30,2,8,40,112,102
Ivo Karlovic,Yen-Hsun Lu,Shanghai,6-Oct-14,Hard,Second Round,31,45,0,2,13,24,0,37,41,13,18,1,1,20,65,70,0,9,6,0,39,51,6,14,0,0,9,59,54
David Ferrer,Andy Murray,Shanghai,6-Oct-14,Hard,Third Round,5,11,0,2,14,0,0,37,51,12,29,4,7,29,70,78,1,9,8,0,35,47,6,23,2,6,31,80,72
Tomas Berdych,Ivo Karlovic,Shanghai,6-Oct-14,Hard,Third Round,7,31,0,2,12,10,0,26,29,14,17,2,6,20,52,60,0,7,19,1,26,34,6,18,0,0,6,46,38
Julien Benneteau,Jack Sock,Shanghai,6-Oct-14,Hard,Third Round,30,60,0,2,12,5,1,40,50,5,12,2,4,17,49,62,0,7,1,3,23,31,9,18,0,3,17,62,49
Feliciano Lopez,John Isner,Shanghai,6-Oct-14,Hard,Third Round,21,14,0,2,12,8,1,30,34,11,17,2,4,22,57,63,0,7,14,3,25,37,10,20,0,1,10,51,45
Mikhail Youzhny,Juan Monaco,Shanghai,6-Oct-14,Hard,Third Round,35,82,0,2,17,5,1,41,56,16,31,5,11,37,84,94,1,12,5,2,33,53,14,31,3,9,30,87,77
Gilles Simon,Malek Jaziri,Shanghai,6-Oct-14,Hard,Third Round,29,87,0,2,12,2,1,28,37,12,19,3,8,25,54,65,0,5,2,1,19,31,10,23,0,3,16,56,45
Novak Djokovic,Mikhail Kukushkin,Shanghai,6-Oct-14,Hard,Third Round,1,85,0,2,16,13,2,49,65,14,30,3,8,30,84,93,1,13,9,0,40,60,14,24,2,5,32,95,86
Roger Federer,Roberto Bautista Agut,Shanghai,6-Oct-14,Hard,Third Round,3,18,0,2,12,8,0,32,37,8,16,3,9,26,60,66,0,6,0,0,25,38,9,22,0,1,13,53,47
Novak Djokovic,David Ferrer,Shanghai,6-Oct-14,Hard,Quarter-finals,1,5,0,2,12,4,0,32,38,9,15,3,7,33,74,74,0,6,2,1,31,42,10,32,0,2,12,53,53
Roger Federer,Julien Benneteau,Shanghai,6-Oct-14,Hard,Quarter-finals,3,30,0,2,13,11,0,34,37,4,11,3,4,31,64,69,0,6,5,1,25,48,8,16,0,0,10,48,43
Feliciano Lopez,Mikhail Youzhny,Shanghai,6-Oct-14,Hard,Quarter-finals,21,35,0,2,17,12,5,40,46,20,41,5,8,40,97,100,1,15,4,0,41,67,16,30,4,10,27,87,84
Gilles Simon,Tomas Berdych,Shanghai,6-Oct-14,Hard,Quarter-finals,29,7,0,2,17,8,1,51,64,15,33,4,12,46,111,112,1,12,18,4,50,63,15,48,2,5,31,97,96
Gilles Simon,Feliciano Lopez,Shanghai,6-Oct-14,Hard,Semi-finals,29,21,0,2,13,5,0,32,34,12,17,2,4,32,75,76,0,8,7,2,35,47,8,28,0,0,7,51,50
Roger Federer,Novak Djokovic,Shanghai,6-Oct-14,Hard,Semi-finals,3,1,0,2,12,8,1,35,51,13,21,2,10,32,77,80,0,8,5,0,32,53,13,24,0,1,24,72,69
Roger Federer,Gilles Simon,Shanghai,6-Oct-14,Hard,Finals,3,29,0,2,14,4,0,39,50,15,21,1,7,34,90,88,0,12,3,1,28,46,28,44,1,3,17,71,73
Vasek Pospisil,Daniel Brands,Vienna,13-Oct-14,Indoor Hard,First Round,44,207,0,2,19,27,10,56,68,27,56,3,6,35,103,118,1,16,1,3,55,73,13,30,2,8,41,124,109
Robin Haase,Dominic Thiem,Vienna,13-Oct-14,Indoor Hard,First Round,72,38,0,2,15,11,0,35,45,16,27,3,5,22,68,73,1,12,7,3,27,30,19,38,2,4,21,72,67
Ivo Karlovic,Federico Delbonis,Vienna,13-Oct-14,Indoor Hard,First Round,30,63,0,2,20,29,7,68,77,18,29,0,0,24,112,110,1,19,13,6,56,63,32,49,0,0,20,106,108
Carlos Berlocq,Gerald Melzer,Vienna,13-Oct-14,Indoor Hard,First Round,80,156,0,2,13,5,2,24,36,18,29,5,8,34,70,76,0,9,1,3,25,40,11,30,3,5,23,65,59
Jan-Lennard Struff,Guillermo Garcia-Lopez,Vienna,13-Oct-14,Indoor Hard,First Round,52,39,0,2,12,9,3,31,36,12,22,2,4,18,49,61,0,7,3,2,15,23,16,26,0,3,15,58,46
Lukas Rosol,Lukas Lacko,Vienna,13-Oct-14,Indoor Hard,First Round,31,83,0,2,12,5,0,20,25,19,29,3,4,22,51,61,0,6,6,2,19,28,10,23,0,0,15,54,44
Sergiy Stakhovsky,Miloslav Mecir,Vienna,13-Oct-14,Indoor Hard,First Round,62,187,0,2,16,7,1,37,46,21,36,3,6,31,83,89,1,11,6,6,38,51,14,32,1,4,24,82,76
Jurgen Melzer,Norbert Gombos,Vienna,13-Oct-14,Indoor Hard,First Round,123,138,0,2,15,4,6,40,59,17,36,4,10,34,84,91,1,13,7,9,37,53,13,31,3,13,38,95,88
Thomaz Bellucci,Paul-Henri Mathieu,Vienna,13-Oct-14,Indoor Hard,First Round,68,84,0,2,12,12,2,22,28,14,21,4,9,31,66,67,0,5,1,5,17,28,18,38,0,2,13,49,48
Tobias Kamke,Simone Bolelli,Vienna,13-Oct-14,Indoor Hard,First Round,93,77,0,2,15,4,3,31,46,27,46,4,11,45,106,103,1,13,4,8,39,58,22,48,3,6,34,92,95
Viktor Troicki,Victor Estrella Burgos,Vienna,13-Oct-14,Indoor Hard,First Round,127,65,0,2,12,14,1,22,25,10,12,4,10,27,54,59,0,3,1,2,17,29,10,25,0,0,5,37,32
Benjamin Becker,Victor Hanescu,Vienna,13-Oct-14,Indoor Hard,First Round,45,134,0,2,16,8,3,32,39,16,26,5,10,39,85,87,1,10,9,3,35,59,11,26,2,3,17,65,63
Philipp Kohlschreiber,Carlos Berlocq,Vienna,13-Oct-14,Indoor Hard,Second Round,23,80,0,2,15,8,5,39,43,17,34,3,7,24,72,80,1,11,2,3,33,43,15,29,1,4,21,77,69
Thomaz Bellucci,Feliciano Lopez,Vienna,13-Oct-14,Indoor Hard,Second Round,68,14,0,2,18,11,2,43,55,23,40,5,10,42,97,108,1,12,9,5,34,51,21,46,2,5,29,95,84
Ivo Karlovic,Jurgen Melzer,Vienna,13-Oct-14,Indoor Hard,Second Round,30,123,0,2,13,21,1,42,51,13,20,1,5,29,77,84,0,10,3,4,37,56,11,21,0,3,16,71,64
Viktor Troicki,Lukas Rosol,Vienna,13-Oct-14,Indoor Hard,Second Round,127,31,0,2,12,12,0,24,27,13,21,3,6,20,50,57,0,5,3,6,21,28,9,22,0,2,11,48,41
Benjamin Becker,Robin Haase,Vienna,13-Oct-14,Indoor Hard,Second Round,45,72,0,2,12,5,1,23,25,13,20,3,7,24,53,60,0,6,4,6,25,35,4,18,0,0,9,45,38
Jan-Lennard Struff,Sergiy Stakhovsky,Vienna,13-Oct-14,Indoor Hard,Second Round,52,62,0,2,16,12,3,35,48,32,57,2,9,45,120,112,1,18,4,6,51,72,24,48,4,8,38,105,113
David Ferrer,Tobias Kamke,Vienna,13-Oct-14,Indoor Hard,Second Round,5,93,0,2,13,1,4,31,39,14,29,3,9,25,57,70,0,6,1,2,18,29,14,28,0,2,23,68,55
Andy Murray,Vasek Pospisil,Vienna,13-Oct-14,Indoor Hard,Second Round,11,44,0,2,12,1,3,25,32,19,34,3,6,31,74,75,0,8,3,8,28,38,15,36,1,6,22,66,65
Philipp Kohlschreiber,Benjamin Becker,Vienna,13-Oct-14,Indoor Hard,Quarter-finals,23,45,0,2,13,11,1,30,41,20,33,3,4,20,62,70,0,10,3,3,29,37,13,25,2,11,24,74,66
David Ferrer,Ivo Karlovic,Vienna,13-Oct-14,Indoor Hard,Quarter-finals,5,30,0,2,13,5,2,32,37,17,25,1,3,20,69,69,0,10,17,5,40,49,9,20,0,0,13,62,62
Andy Murray,Jan-Lennard Struff,Vienna,13-Oct-14,Indoor Hard,Quarter-finals,11,52,0,2,13,10,1,26,30,13,22,4,8,30,66,69,0,7,6,2,25,34,11,32,1,1,13,52,49
Viktor Troicki,Thomaz Bellucci,Vienna,13-Oct-14,Indoor Hard,Quarter-finals,127,68,0,2,19,13,6,43,50,21,47,5,9,51,119,115,1,15,9,5,44,66,24,53,3,7,33,97,101
David Ferrer,Philipp Kohlschreiber,Vienna,13-Oct-14,Indoor Hard,Semi-finals,5,23,0,2,15,3,6,34,49,29,46,2,8,48,114,111,1,15,4,6,42,60,24,54,3,11,32,95,98
Andy Murray,Viktor Troicki,Vienna,13-Oct-14,Indoor Hard,Semi-finals,11,127,0,2,12,2,4,25,30,10,20,4,11,35,75,70,0,7,5,4,26,37,14,38,1,1,15,50,55
Andy Murray,David Ferrer,Vienna,13-Oct-14,Indoor Hard,Finals,11,5,0,2,18,9,2,47,67,16,39,7,12,51,108,114,1,14,1,7,35,54,22,54,5,18,43,106,100
Jarkko Nieminen,Albert Ramos-Vinolas,Stockholm,13-Oct-14,Indoor Hard,First Round,57,67,0,2,12,5,4,39,53,8,20,3,11,28,65,75,0,8,2,1,23,38,14,27,1,3,26,73,63
Teymuraz Gabashvili,Alejandro Falla,Stockholm,13-Oct-14,Indoor Hard,First Round,59,81,0,2,12,3,4,25,32,8,29,6,9,31,53,64,0,6,1,1,17,28,5,25,3,8,28,61,50
Jack Sock,Andrey Golubev,Stockholm,13-Oct-14,Indoor Hard,First Round,51,58,0,2,16,11,3,32,38,14,26,6,17,47,96,93,1,7,5,6,33,60,16,36,1,3,18,64,67
Dustin Brown,Christian Lindell,Stockholm,13-Oct-14,Indoor Hard,First Round,92,223,0,2,13,10,6,42,58,11,25,3,6,25,65,78,0,10,8,6,33,42,7,23,2,6,30,83,70
Leonardo Mayer,Donald Young,Stockholm,13-Oct-14,Indoor Hard,First Round,25,69,0,2,12,6,2,27,30,13,19,2,10,37,86,77,0,8,2,4,35,57,14,29,0,0,9,49,58
Jeremy Chardy,Elias Ymer,Stockholm,13-Oct-14,Indoor Hard,First Round,34,238,0,2,12,6,3,31,41,12,23,3,3,17,44,60,0,7,2,2,17,25,10,19,1,6,21,64,48
Matthias Bachinger,Igor Sijsling,Stockholm,13-Oct-14,Indoor Hard,First Round,203,87,0,2,15,5,2,53,70,10,23,1,6,36,100,99,1,16,5,3,45,64,19,36,2,7,30,93,94
Marius Copil,Joao Sousa,Stockholm,13-Oct-14,Indoor Hard,First Round,181,50,0,2,17,18,3,47,61,30,44,1,8,37,114,114,1,16,3,3,52,70,25,44,1,11,28,105,105
Adrian Mannarino,Marcos Baghdatis,Stockholm,13-Oct-14,Indoor Hard,First Round,79,102,0,2,14,6,0,38,57,21,37,3,11,36,88,95,1,12,11,3,32,47,20,41,2,14,35,94,87
Fernando Verdasco,Marinko Matosevic,Stockholm,13-Oct-14,Indoor Hard,First Round,36,82,0,2,15,8,4,47,55,15,35,2,6,27,79,89,1,12,4,2,30,44,22,35,1,9,28,90,80
Pierre-Hugues Herbert,Pablo Carreno Busta,Stockholm,13-Oct-14,Indoor Hard,First Round,124,64,0,2,13,12,2,29,36,18,23,1,4,20,66,67,0,10,4,3,34,42,12,24,0,0,12,59,58
Bernard Tomic,Patrik Rosenholm,Stockholm,13-Oct-14,Indoor Hard,First Round,76,371,0,2,18,19,2,51,68,21,36,2,5,28,95,100,1,17,13,1,46,59,21,36,2,3,32,104,99
Adrian Mannarino,Alexandr Dolgopolov,Stockholm,13-Oct-14,Indoor Hard,Second Round,79,24,0,2,19,7,3,56,75,24,42,3,9,45,126,125,1,17,11,3,47,58,34,68,2,12,37,117,118
Tomas Berdych,Dustin Brown,Stockholm,13-Oct-14,Indoor Hard,Second Round,7,92,0,2,13,7,2,30,32,17,28,2,8,25,69,72,0,8,5,4,35,45,9,24,0,3,13,60,57
Fernando Verdasco,Jarkko Nieminen,Stockholm,13-Oct-14,Indoor Hard,Second Round,36,57,0,2,12,4,2,32,46,13,26,4,13,33,70,78,0,7,1,1,23,38,14,32,2,5,27,72,64
Jack Sock,Jeremy Chardy,Stockholm,13-Oct-14,Indoor Hard,Second Round,51,34,0,2,13,14,3,37,43,14,29,1,1,14,53,65,0,9,13,1,30,36,9,17,0,2,21,72,60
Bernard Tomic,Kevin Anderson,Stockholm,13-Oct-14,Indoor Hard,Second Round,76,17,0,2,13,7,0,36,47,15,24,1,1,12,55,63,0,10,15,1,32,40,11,15,0,3,20,71,63
Matthias Bachinger,Leonardo Mayer,Stockholm,13-Oct-14,Indoor Hard,Second Round,203,25,0,2,19,15,3,53,73,25,34,2,7,28,95,106,1,16,7,2,47,62,20,33,1,3,29,107,96
Marius Copil,Pierre-Hugues Herbert,Stockholm,13-Oct-14,Indoor Hard,Second Round,181,124,0,2,12,6,0,26,31,11,17,3,9,31,74,68,0,7,7,7,29,43,14,31,0,0,11,48,54
Grigor Dimitrov,Teymuraz Gabashvili,Stockholm,13-Oct-14,Indoor Hard,Second Round,10,59,0,2,14,8,4,34,52,18,37,4,5,34,77,86,0,11,3,2,30,51,13,26,3,7,37,89,80
Matthias Bachinger,Adrian Mannarino,Stockholm,13-Oct-14,Indoor Hard,Quarter-finals,203,79,0,2,16,13,0,35,38,14,30,4,7,38,87,87,1,11,4,4,37,58,12,29,2,3,19,68,68
Bernard Tomic,Fernando Verdasco,Stockholm,13-Oct-14,Indoor Hard,Quarter-finals,76,36,0,2,13,7,2,40,58,15,32,3,6,36,97,91,1,16,10,4,46,66,15,31,5,9,35,90,96
Grigor Dimitrov,Jack Sock,Stockholm,13-Oct-14,Indoor Hard,Quarter-finals,10,51,0,2,17,5,2,51,65,17,27,2,8,34,95,102,1,14,9,2,42,63,19,32,1,7,24,92,85
Tomas Berdych,Marius Copil,Stockholm,13-Oct-14,Indoor Hard,Quarter-finals,7,181,0,2,12,8,4,22,24,14,23,4,9,30,62,66,0,4,10,3,24,39,8,23,0,3,11,47,43
Grigor Dimitrov,Bernard Tomic,Stockholm,13-Oct-14,Indoor Hard,Semi-finals,10,76,0,2,13,7,3,33,42,13,26,3,4,26,63,72,0,8,4,1,27,40,10,23,1,4,22,68,59
Tomas Berdych,Matthias Bachinger,Stockholm,13-Oct-14,Indoor Hard,Semi-finals,7,203,0,2,13,9,1,34,44,12,22,3,4,26,68,72,0,10,8,2,31,42,11,26,2,4,20,66,62
Tomas Berdych,Grigor Dimitrov,Stockholm,13-Oct-14,Indoor Hard,Finals,7,10,0,2,17,13,1,40,53,24,40,3,8,38,103,102,1,15,8,3,46,72,19,31,2,6,29,93,94
Sam Groth,Andrey Rublev,Moscow,13-Oct-14,Indoor Hard,First Round,88,495,0,2,14,20,2,37,41,18,33,1,4,21,71,76,0,11,4,0,35,45,15,26,0,1,19,74,69
Ricardas Berankis,Aslan Karatsev,Moscow,13-Oct-14,Indoor Hard,First Round,116,221,0,2,12,2,1,29,43,15,27,3,8,25,59,69,0,7,2,3,24,40,10,19,1,5,26,70,60
Evgeny Donskoy,Dudi Sela,Moscow,13-Oct-14,Indoor Hard,First Round,128,106,0,2,12,8,2,23,26,12,20,4,10,30,61,65,0,4,1,5,20,34,11,27,0,3,11,46,42
Andreas Seppi,Dusan Lajovic,Moscow,13-Oct-14,Indoor Hard,First Round,49,66,0,2,13,9,1,34,45,17,25,2,7,24,68,75,0,9,5,0,30,41,14,27,0,2,19,70,63
Daniel Gimeno-Traver,Jiri Vesely,Moscow,13-Oct-14,Indoor Hard,First Round,112,71,0,2,13,7,1,29,32,13,23,3,12,32,76,74,0,8,2,2,38,55,6,21,1,4,13,55,57
Mikhail Kukushkin,Karen Khachanov,Moscow,13-Oct-14,Indoor Hard,First Round,74,282,0,2,18,6,1,41,56,16,33,6,15,44,90,101,1,9,4,3,32,56,14,34,1,3,32,89,78
Filip Krajinovic,Malek Jaziri,Moscow,13-Oct-14,Indoor Hard,First Round,96,75,0,2,12,4,0,23,30,13,19,4,15,39,79,75,0,6,5,1,26,39,14,40,1,2,13,49,53
Juan Monaco,Paolo Lorenzi,Moscow,13-Oct-14,Indoor Hard,First Round,70,73,0,2,17,3,3,42,65,15,29,6,12,45,100,102,1,13,4,2,37,62,18,38,4,10,37,94,92
Tommy Robredo,Pedja Krstin,Moscow,13-Oct-14,Indoor Hard,First Round,21,263,0,2,13,7,0,30,40,14,21,3,4,28,67,72,0,10,2,4,26,44,13,23,2,3,17,61,56
Ivan Dodig,Pere Riba,Moscow,13-Oct-14,Indoor Hard,First Round,86,115,0,2,12,12,3,28,34,6,18,4,6,20,47,54,0,6,1,1,17,29,10,18,1,3,18,52,45
Mikhail Youzhny,Victor Baluda,Moscow,13-Oct-14,Indoor Hard,First Round,27,466,0,2,12,2,1,21,26,19,29,3,8,30,70,70,0,7,4,2,26,44,14,26,1,1,15,55,55
Ernests Gulbis,Daniel Gimeno-Traver,Moscow,13-Oct-14,Indoor Hard,Second Round,13,112,0,2,13,6,1,33,47,15,27,3,7,30,70,78,0,9,1,3,25,43,15,27,2,3,26,74,66
Marin Cilic,Evgeny Donskoy,Moscow,13-Oct-14,Indoor Hard,Second Round,8,128,0,2,15,8,3,39,51,18,37,3,5,24,69,81,1,12,5,1,31,40,14,29,2,5,31,88,76
Mikhail Kukushkin,Fabio Fognini,Moscow,13-Oct-14,Indoor Hard,Second Round,74,19,0,2,12,3,1,24,34,12,25,5,11,35,65,71,0,6,4,8,20,34,10,31,2,4,23,59,53
Tommy Robredo,Filip Krajinovic,Moscow,13-Oct-14,Indoor Hard,Second Round,21,96,0,2,12,10,1,35,37,7,15,2,7,17,50,59,0,7,2,1,21,30,12,20,0,2,10,52,43
Andreas Seppi,Ivan Dodig,Moscow,13-Oct-14,Indoor Hard,Second Round,49,86,0,2,14,4,7,43,60,18,41,3,4,30,77,91,0,11,13,1,36,47,11,30,2,12,40,101,87
Mikhail Youzhny,Juan Monaco,Moscow,13-Oct-14,Indoor Hard,Second Round,27,70,0,2,13,3,1,31,45,20,35,3,6,26,65,77,0,9,1,1,29,49,10,16,2,6,29,80,68
Ricardas Berankis,Milos Raonic,Moscow,13-Oct-14,Indoor Hard,Second Round,116,9,0,2,16,7,3,42,59,12,24,4,7,33,85,87,1,12,15,3,38,50,14,35,2,5,29,83,81
Roberto Bautista Agut,Sam Groth,Moscow,13-Oct-14,Indoor Hard,Second Round,16,88,0,2,14,7,0,39,45,21,26,0,2,16,72,76,0,12,19,1,40,51,16,21,0,0,11,71,67
Ernests Gulbis,Andreas Seppi,Moscow,13-Oct-14,Indoor Hard,Quarter-finals,13,49,0,2,18,17,5,55,64,19,48,1,2,32,108,106,1,18,7,6,50,64,26,44,2,5,38,112,114
Mikhail Kukushkin,Mikhail Youzhny,Moscow,13-Oct-14,Indoor Hard,Quarter-finals,74,27,0,2,14,4,1,40,54,13,28,4,8,38,93,91,1,12,5,1,41,60,14,33,3,4,29,82,84
Roberto Bautista Agut,Ricardas Berankis,Moscow,13-Oct-14,Indoor Hard,Quarter-finals,16,116,0,2,13,9,4,42,59,14,30,3,6,28,61,84,0,8,0,2,23,37,10,24,1,13,33,89,66
Marin Cilic,Tommy Robredo,Moscow,13-Oct-14,Indoor Hard,Quarter-finals,8,21,0,2,12,10,1,32,39,10,26,4,9,25,54,67,0,6,1,1,21,34,8,20,1,7,23,65,52
Roberto Bautista Agut,Ernests Gulbis,Moscow,13-Oct-14,Indoor Hard,Semi-finals,16,13,0,2,12,4,4,27,33,16,24,2,8,25,67,68,0,8,7,0,29,39,13,28,0,1,14,57,56
Marin Cilic,Mikhail Kukushkin,Moscow,13-Oct-14,Indoor Hard,Semi-finals,8,74,0,2,16,10,1,40,53,22,45,4,13,41,96,103,1,11,1,1,33,59,22,37,2,8,36,98,91
Marin Cilic,Roberto Bautista Agut,Moscow,13-Oct-14,Indoor Hard,Finals,8,16,0,2,12,10,1,32,47,16,24,2,4,20,59,68,0,8,2,1,28,40,11,19,0,6,23,71,62
Grigor Dimitrov,Alexander Zverev,Basel,20-Oct-14,Indoor Hard,First Round,11,135,0,2,14,7,5,31,43,20,37,4,5,30,76,81,1,12,4,3,32,49,14,27,3,14,29,80,75
Donald Young,Carlos Berlocq,Basel,20-Oct-14,Indoor Hard,First Round,69,78,0,2,13,4,3,26,29,17,35,3,11,37,88,80,0,10,2,5,28,46,23,42,2,2,21,64,72
David Goffin,Dominic Thiem,Basel,20-Oct-14,Indoor Hard,First Round,28,39,0,2,13,15,2,32,35,17,31,2,3,22,60,71,0,9,1,3,27,42,11,18,1,1,17,66,55
Pierre-Hugues Herbert,Edouard Roger-Vasselin,Basel,20-Oct-14,Indoor Hard,First Round,120,64,0,2,19,26,3,52,59,32,56,1,3,36,110,120,1,16,3,2,55,74,19,36,0,4,31,115,105
Borna Coric,Ernests Gulbis,Basel,20-Oct-14,Indoor Hard,First Round,124,13,0,2,13,6,2,25,34,22,35,3,14,33,72,80,0,9,9,4,26,42,13,30,2,6,22,69,61
Kenny De Schepper,Federico Delbonis,Basel,20-Oct-14,Indoor Hard,First Round,119,61,0,2,14,15,5,41,53,15,32,2,9,32,81,88,0,11,4,2,27,40,22,41,1,4,29,85,78
Benjamin Becker,Gastao Elias,Basel,20-Oct-14,Indoor Hard,First Round,45,138,0,2,12,3,4,27,32,8,16,4,7,26,57,61,0,5,13,3,19,23,12,34,0,2,13,48,44
Roger Federer,Gilles Muller,Basel,20-Oct-14,Indoor Hard,First Round,2,51,0,2,12,9,2,20,21,12,15,4,5,19,38,51,0,3,3,2,11,20,8,18,0,0,4,36,23
Vasek Pospisil,Jarkko Nieminen,Basel,20-Oct-14,Indoor Hard,First Round,44,57,0,2,18,29,3,55,62,23,42,2,8,29,96,107,1,14,2,4,55,65,12,31,0,3,26,104,93
Denis Istomin,Jerzy Janowicz,Basel,20-Oct-14,Indoor Hard,First Round,55,36,0,2,12,14,2,22,26,8,15,5,11,32,59,62,0,2,2,7,17,30,10,29,0,2,11,41,38
Ivo Karlovic,Lukas Rosol,Basel,20-Oct-14,Indoor Hard,First Round,31,30,0,2,13,23,1,42,44,7,11,1,4,18,61,67,0,9,7,7,27,32,16,29,0,0,6,55,49
Ivan Dodig,Marco Chiudinelli,Basel,20-Oct-14,Indoor Hard,First Round,85,178,0,2,18,17,3,43,55,28,60,5,14,51,120,122,1,15,2,4,41,61,28,59,3,12,44,115,113
Rafael Nadal,Simone Bolelli,Basel,20-Oct-14,Indoor Hard,First Round,3,75,0,2,12,3,0,29,36,8,16,4,7,24,46,61,0,4,0,0,16,30,6,16,0,0,15,52,37
Mikhail Kukushkin,Stan Wawrinka,Basel,20-Oct-14,Indoor Hard,First Round,84,4,0,2,18,2,1,39,50,23,40,4,10,33,97,95,1,14,3,4,38,48,26,49,2,6,28,90,92
Milos Raonic,Steve Johnson,Basel,20-Oct-14,Indoor Hard,First Round,9,41,0,2,13,12,1,29,36,26,38,1,2,19,66,74,0,10,5,1,26,35,21,31,0,5,19,74,66
Andrey Golubev,Teymuraz Gabashvili,Basel,20-Oct-14,Indoor Hard,First Round,66,62,0,2,12,1,0,20,21,16,21,3,5,23,54,59,0,6,2,0,23,38,8,16,0,0,6,42,37
Borna Coric,Andrey Golubev,Basel,20-Oct-14,Indoor Hard,Second Round,124,66,0,2,12,2,1,23,25,17,30,3,4,24,60,64,0,8,4,1,24,33,12,27,1,1,15,55,51
Roger Federer,Denis Istomin,Basel,20-Oct-14,Indoor Hard,Second Round,2,55,0,2,15,6,0,40,44,17,27,2,12,35,98,92,1,13,11,4,42,56,21,42,1,4,14,71,77
Milos Raonic,Donald Young,Basel,20-Oct-14,Indoor Hard,Second Round,9,69,0,2,19,22,7,57,68,23,46,1,3,34,109,114,1,17,8,2,48,58,27,51,0,2,34,114,109
David Goffin,Ivan Dodig,Basel,20-Oct-14,Indoor Hard,Second Round,28,85,0,2,13,5,5,27,37,16,31,4,12,35,78,78,0,10,5,4,28,37,15,41,3,7,25,68,68
Ivo Karlovic,Kenny De Schepper,Basel,20-Oct-14,Indoor Hard,Second Round,31,119,0,2,18,18,4,48,50,21,34,2,6,27,92,96,1,14,8,2,43,57,22,35,0,1,15,84,80
Rafael Nadal,Pierre-Hugues Herbert,Basel,20-Oct-14,Indoor Hard,Second Round,3,120,0,2,12,0,1,21,29,9,12,5,6,23,37,53,0,2,2,11,6,10,8,27,0,2,11,41,25
Grigor Dimitrov,Vasek Pospisil,Basel,20-Oct-14,Indoor Hard,Second Round,11,44,0,2,12,3,3,25,29,9,19,4,11,24,53,58,0,4,4,4,19,25,10,28,0,0,14,48,43
Ivo Karlovic,Benjamin Becker,Basel,20-Oct-14,Indoor Hard,Quarter-finals,31,45,0,2,12,19,5,40,46,4,16,3,6,25,64,69,0,8,4,3,28,43,11,21,1,5,18,62,57
Roger Federer,Grigor Dimitrov,Basel,20-Oct-14,Indoor Hard,Quarter-finals,2,11,0,2,13,10,1,31,37,18,28,2,6,29,74,78,0,8,7,1,32,45,13,29,0,4,16,65,61
David Goffin,Milos Raonic,Basel,20-Oct-14,Indoor Hard,Quarter-finals,28,9,0,2,18,12,6,44,48,28,56,3,9,40,110,112,1,14,21,8,45,54,25,56,1,7,32,104,102
Borna Coric,Rafael Nadal,Basel,20-Oct-14,Indoor Hard,Quarter-finals,124,3,0,2,13,6,2,29,36,20,38,3,5,23,60,72,0,8,1,0,30,44,7,16,1,4,25,74,62
David Goffin,Borna Coric,Basel,20-Oct-14,Indoor Hard,Semi-finals,28,124,0,2,15,10,6,32,39,26,45,2,7,34,96,92,1,13,10,7,42,56,20,40,1,3,26,84,88
Roger Federer,Ivo Karlovic,Basel,20-Oct-14,Indoor Hard,Semi-finals,2,31,0,2,16,7,3,47,55,22,31,1,4,20,85,89,1,15,33,2,53,63,12,22,1,2,17,86,82
Roger Federer,David Goffin,Basel,20-Oct-14,Indoor Hard,Finals,2,28,0,2,12,5,1,18,22,14,15,4,6,23,47,55,0,4,6,4,18,23,6,24,0,0,5,37,29
Fabio Fognini,Albert Ramos-Vinolas,Valencia,20-Oct-14,Indoor Hard,First Round,19,68,0,2,12,3,1,23,27,13,16,3,9,29,67,65,0,6,2,6,26,41,12,26,0,0,7,43,45
David Ferrer,Andreas Seppi,Valencia,20-Oct-14,Indoor Hard,First Round,5,53,0,2,13,1,2,27,36,13,22,4,9,34,71,74,0,8,3,1,22,37,15,34,2,3,18,58,55
